timestamp,esgScore,governanceScore,environmentScore,socialScore,ticker,peer_group
2014-09-01,66.0,74.0,60.0,66.0,TGT,Retailing
2014-10-01,66.0,74.0,60.0,66.0,TGT,Retailing
2014-11-01,66.0,74.0,60.0,66.0,TGT,Retailing
2014-12-01,66.0,74.0,60.0,66.0,TGT,Retailing
2015-01-01,66.0,74.0,60.0,66.0,TGT,Retailing
2015-02-01,67.0,75.0,60.0,69.0,TGT,Retailing
2015-03-01,66.0,75.0,60.0,66.0,TGT,Retailing
2015-04-01,66.0,75.0,60.0,66.0,TGT,Retailing
2015-05-01,66.0,75.0,60.0,66.0,TGT,Retailing
2015-06-01,66.0,75.0,60.0,66.0,TGT,Retailing
2015-07-01,66.0,75.0,60.0,66.0,TGT,Retailing
2015-08-01,69.0,75.0,68.0,66.0,TGT,Retailing
2015-09-01,69.0,75.0,68.0,66.0,TGT,Retailing
2015-10-01,69.0,75.0,68.0,66.0,TGT,Retailing
2015-11-01,69.0,75.0,68.0,66.0,TGT,Retailing
2015-12-01,69.0,75.0,68.0,66.0,TGT,Retailing
2016-01-01,69.1,75.29,67.88,66.31,TGT,Retailing
2016-02-01,69.1,75.29,67.88,66.31,TGT,Retailing
2016-03-01,69.1,75.29,67.88,66.31,TGT,Retailing
2016-04-01,63.92,75.29,67.86,53.36,TGT,Retailing
2016-05-01,62.97,75.29,67.86,50.98,TGT,Retailing
2016-06-01,64.55,75.29,67.86,54.94,TGT,Retailing
2016-07-01,64.27,75.29,67.05,54.94,TGT,Retailing
2016-08-01,64.27,75.29,67.05,54.94,TGT,Retailing
2016-09-01,64.27,75.29,67.05,54.94,TGT,Retailing
2016-10-01,64.27,75.29,67.05,54.94,TGT,Retailing
2016-11-01,64.27,75.29,67.05,54.94,TGT,Retailing
2016-12-01,63.42,71.89,67.05,54.94,TGT,Retailing
2017-01-01,63.19,71.89,66.37,54.96,TGT,Retailing
2017-02-01,63.19,71.89,66.37,54.96,TGT,Retailing
2017-03-01,63.19,71.89,66.37,54.96,TGT,Retailing
2017-04-01,63.19,71.89,66.37,54.96,TGT,Retailing
2017-05-01,63.46,71.89,67.15,54.96,TGT,Retailing
2017-06-01,63.46,71.89,67.15,54.96,TGT,Retailing
2017-07-01,63.46,71.89,67.15,54.96,TGT,Retailing
2017-08-01,63.05,71.89,65.98,54.96,TGT,Retailing
2017-09-01,63.05,71.89,65.98,54.96,TGT,Retailing
2017-10-01,63.31,69.79,66.13,56.79,TGT,Retailing
2017-11-01,63.31,69.79,66.13,56.79,TGT,Retailing
2017-12-01,63.31,69.79,66.13,56.79,TGT,Retailing
2018-01-01,63.31,69.79,66.13,56.79,TGT,Retailing
2018-02-01,63.31,69.79,66.13,56.79,TGT,Retailing
2018-03-01,63.31,69.79,66.13,56.79,TGT,Retailing
2018-04-01,63.31,69.79,66.13,56.79,TGT,Retailing
2018-05-01,63.31,69.79,66.13,56.79,TGT,Retailing
2018-06-01,63.31,69.79,66.13,56.79,TGT,Retailing
2018-07-01,63.31,69.79,66.13,56.79,TGT,Retailing
2018-08-01,61.51,69.79,66.13,52.29,TGT,Retailing
2018-09-01,61.51,69.79,66.13,52.29,TGT,Retailing
2018-10-01,59.95,68.79,66.91,48.34,TGT,Retailing
2018-11-01,59.65,67.59,66.91,48.34,TGT,Retailing
2018-12-01,59.55,67.19,66.91,48.34,TGT,Retailing
2019-01-01,58.93,68.49,64.2,48.34,TGT,Retailing
2019-02-01,58.93,68.49,64.2,48.34,TGT,Retailing
2019-03-01,58.93,68.49,64.2,48.34,TGT,Retailing
2019-04-01,58.93,68.49,64.2,48.34,TGT,Retailing
2019-05-01,58.93,68.49,64.2,48.34,TGT,Retailing
2019-06-01,58.93,68.49,64.2,48.34,TGT,Retailing
2019-07-01,58.93,68.49,64.2,48.34,TGT,Retailing
2019-08-01,58.93,68.49,64.2,48.34,TGT,Retailing
2019-09-01,58.76,65.45,64.2,49.83,TGT,Retailing
2019-10-01,58.76,65.45,64.2,49.83,TGT,Retailing
2019-11-01,61.13,64.95,69.61,51.33,TGT,Retailing
2019-12-01,58.65,65.15,66.81,47.44,TGT,Retailing
2020-01-01,16.11,5.37,1.9,8.84,TGT,Retailing
2020-02-01,15.03,5.11,1.9,8.03,TGT,Retailing
2020-03-01,15.23,5.11,1.9,8.23,TGT,Retailing
2020-04-01,,,,,TGT,Retailing
2020-05-01,,,,,TGT,Retailing
2020-06-01,,,,,TGT,Retailing
2020-07-01,15.35,5.11,2.01,8.23,TGT,Retailing
2020-08-01,15.35,5.11,2.01,8.23,TGT,Retailing
2020-09-01,,,,,TGT,Retailing
2020-10-01,15.37,5.13,2.01,8.23,TGT,Retailing
2020-11-01,,,,,TGT,Retailing
2020-12-01,,,,,TGT,Retailing
2021-01-01,14.82,5.34,1.85,7.63,TGT,Retailing
2021-02-01,14.82,5.34,1.85,7.63,TGT,Retailing
2021-03-01,15.04,5.34,2.08,7.63,TGT,Retailing
2021-04-01,,,,,TGT,Retailing
2021-05-01,15.04,5.34,2.08,7.63,TGT,Retailing
2021-06-01,,,,,TGT,Retailing
2021-07-01,,,,,TGT,Retailing
2021-08-01,,,,,TGT,Retailing
2021-09-01,15.04,5.34,2.08,7.63,TGT,Retailing
2021-10-01,,,,,TGT,Retailing
2021-11-01,,,,,TGT,Retailing
2021-12-01,,,,,TGT,Retailing
2022-01-01,,,,,TGT,Retailing
2022-02-01,14.79,5.06,2.17,7.56,TGT,Retailing
2022-03-01,,,,,TGT,Retailing
2022-04-01,,,,,TGT,Retailing
2022-05-01,14.79,5.06,2.17,7.56,TGT,Retailing
2022-06-01,,,,,TGT,Retailing
2022-07-01,,,,,TGT,Retailing
2022-08-01,14.72,5.06,2.04,7.63,TGT,Retailing
2014-09-01,77.0,76.0,76.0,78.0,PEP,Food Products
2014-10-01,77.0,76.0,76.0,78.0,PEP,Food Products
2014-11-01,77.0,76.0,76.0,78.0,PEP,Food Products
2014-12-01,77.0,76.0,76.0,78.0,PEP,Food Products
2015-01-01,77.0,82.0,76.0,76.0,PEP,Food Products
2015-02-01,77.0,82.0,76.0,76.0,PEP,Food Products
2015-03-01,75.0,82.0,73.0,73.0,PEP,Food Products
2015-04-01,75.0,82.0,73.0,73.0,PEP,Food Products
2015-05-01,75.0,82.0,73.0,73.0,PEP,Food Products
2015-06-01,75.0,82.0,73.0,73.0,PEP,Food Products
2015-07-01,75.0,82.0,73.0,73.0,PEP,Food Products
2015-08-01,74.0,82.0,71.0,73.0,PEP,Food Products
2015-09-01,74.0,82.0,71.0,73.0,PEP,Food Products
2015-10-01,74.0,82.0,71.0,73.0,PEP,Food Products
2015-11-01,74.0,82.0,71.0,73.0,PEP,Food Products
2015-12-01,74.0,82.0,71.0,73.0,PEP,Food Products
2016-01-01,74.3,81.71,70.64,72.88,PEP,Food Products
2016-02-01,72.98,76.42,70.64,72.88,PEP,Food Products
2016-03-01,72.98,76.42,70.64,72.88,PEP,Food Products
2016-04-01,71.92,76.45,71.0,69.88,PEP,Food Products
2016-05-01,71.92,76.45,71.0,69.88,PEP,Food Products
2016-06-01,71.92,76.45,71.0,69.88,PEP,Food Products
2016-07-01,71.92,76.45,71.0,69.88,PEP,Food Products
2016-08-01,70.13,75.31,71.0,66.13,PEP,Food Products
2016-09-01,68.43,75.51,69.12,63.41,PEP,Food Products
2016-10-01,68.43,75.51,69.12,63.41,PEP,Food Products
2016-11-01,68.43,75.51,69.12,63.41,PEP,Food Products
2016-12-01,68.43,75.51,69.12,63.41,PEP,Food Products
2017-01-01,70.07,75.58,75.38,61.98,PEP,Food Products
2017-02-01,70.07,75.58,75.38,61.98,PEP,Food Products
2017-03-01,70.07,75.58,75.38,61.98,PEP,Food Products
2017-04-01,70.07,75.58,75.38,61.98,PEP,Food Products
2017-05-01,70.38,75.58,76.26,61.98,PEP,Food Products
2017-06-01,70.38,75.58,76.26,61.98,PEP,Food Products
2017-07-01,70.38,75.58,76.26,61.98,PEP,Food Products
2017-08-01,71.91,75.58,77.51,64.71,PEP,Food Products
2017-09-01,71.91,75.58,77.51,64.71,PEP,Food Products
2017-10-01,72.16,72.48,79.09,65.89,PEP,Food Products
