name,ticker,type,country,industry
iShares MSCI World ESG Enhanced UCITS ETF (Distributing),EEWD,ETF,NA,NA
SPDR® Bloomberg 1-3 Month T-Bill ETF,BIL,Cash and Cash Equivalents,US,NA
Target Corp,TGT,Equity,US,Consumer Discretionary
Pepsi Co,PEP,Equity,US,Consumer Staples
Novartis,NOVN,Equity,SW,Pharmaceuticals
Invesco DB US Dollar Index Bullish Fund,UUP,ETF,NA,NA
American Tower Corp.,AMT,Equity,US,Real Estate
Severn Trent Plc,SVT,Equity,UK,Utilities
UnitedHealth Group Inc,UNH,Equity,US,Healthcare
Verizon Communications Inc,VZ,Equity,US,Telecommunications
Elevance Health Inc,ELV,Equity,US,Healthcare
Lyxor Green Bond (DR) UCITS ETF - Acc,CLIM,ETF,NA,NA
